Dark Roast|coffee|small|1.60|coffee-dark-roast.png|Savour the robust flavour of our rich new Dark Roast blend, brewed for the coffee lover in everyone.
Dark Roast|coffee|reg|2.10|coffee-dark-roast.png|Savour the robust flavour of our rich new Dark Roast blend, brewed for the coffee lover in everyone.
Dark Roast|coffee|large|2.40|coffee-dark-roast.png|Savour the robust flavour of our rich new Dark Roast blend, brewed for the coffee lover in everyone.
Decaf|coffee|small|1.60|coffee-decaf.png|All the great taste of your Tim Hortons Coffee, without the caffeine.
Decaf|coffee|reg|2.10|coffee-decaf.png|All the great taste of your Tim Hortons Coffee, without the caffeine.
Decaf|coffee|large|2.40|coffee-decaf.png|All the great taste of your Tim Hortons Coffee, without the caffeine.
Original Blend|coffee|small|1.60|coffee-original-blend.png|Our signature Original Blend with the familiar and satisfying taste that Canadians enjoy every day.
Original Blend|coffee|reg|2.10|coffee-original-blend.png|Our signature Original Blend with the familiar and satisfying taste that Canadians enjoy every day.
Original Blend|coffee|large|2.40|coffee-original-blend.png|Our signature Original Blend with the familiar and satisfying taste that Canadians enjoy every day.
Cafe Mocha|special coffee|small|3.75|coffeesp-cafe-mocha.png|This delectable Cafe Mocha blends premium blend coffee with hot chocolate, finished with whipped topping.
Cafe Mocha|special coffee|reg|4.75|coffeesp-cafe-mocha.png|This delectable Café Mocha blends premium blend coffee with hot chocolate, finished with whipped topping.
Cafe Mocha|special coffee|large|4.95|coffeesp-cafe-mocha.png|This delectable Café Mocha blends premium blend coffee with hot chocolate, finished with whipped topping.
Cappuccino|special coffee|small|3.40|coffeesp-cappuccino.png|Just like a latte, but with more of our premium Espresso added for a fuller coffee flavour.
Cappuccino|special coffee|reg|4.40|coffeesp-cappuccino.png|Just like a latte, but with more of our premium Espresso added for a fuller coffee flavour.
Cappuccino|special coffee|large|4.90|coffeesp-cappuccino.png|Just like a latte, but with more of our premium Espresso added for a fuller coffee flavour.
Chocolate Latte|special coffee|small|3.50|coffeesp-chocolate-latte.png|A blend of premium Espresso, frothed milk and cocoa mix finished with whipped topping and chocolaty drizzle.
Chocolate Latte|special coffee|reg|4.50|coffeesp-chocolate-latte.png|A blend of premium Espresso, frothed milk and cocoa mix finished with whipped topping and chocolaty drizzle.
Chocolate Latte|special coffee|large|4.90|coffeesp-chocolate-latte.png|A blend of premium Espresso, frothed milk and cocoa mix finished with whipped topping and chocolaty drizzle.
French Vanilla|special coffee|small|1.95|coffeesp-french-vanilla.png|Enjoy our signature silky smooth French Vanilla or rich English Toffee.
French Vanilla|special coffee|reg|2.40|coffeesp-french-vanilla.png|Enjoy our signature silky smooth French Vanilla or rich English Toffee.
French Vanilla|special coffee|large|2.65|coffeesp-french-vanilla.png|Enjoy our signature silky smooth French Vanilla or rich English Toffee.
Hot Chocolate|special coffee|small|1.95|coffeesp-hot-chocolate.png|Warm, chocolaty deliciousness that’s sure to warm you up. Hot chocolate like it was meant to be.
Hot Chocolate|special coffee|reg|2.40|coffeesp-hot-chocolate.png|Warm, chocolaty deliciousness that’s sure to warm you up. Hot chocolate like it was meant to be.
Hot Chocolate|special coffee|large|2.65|coffeesp-hot-chocolate.png|Warm, chocolaty deliciousness that’s sure to warm you up. Hot chocolate like it was meant to be.
Latte|special coffee|small|3.40|coffeesp-latte.png|The perfect blend of premium Espresso and warm frothy milk.
Latte|special coffee|reg|4.40|coffeesp-latte.png|The perfect blend of premium Espresso and warm frothy milk.
Latte|special coffee|large|4.95|coffeesp-latte.png|The perfect blend of premium Espresso and warm frothy milk.
Vanilla Bean Latte|special coffee|small|3.50|coffeesp-vanilla-bean-latte.png|Looking for more than a traditional Latte? Try our Vanilla Bean Latte or any of our other flavours.
Vanilla Bean Latte|special coffee|reg|4.50|coffeesp-vanilla-bean-latte.png|Looking for more than a traditional Latte? Try our Vanilla Bean Latte or any of our other flavours.
Vanilla Bean Latte|special coffee|large|4.95|coffeesp-vanilla-bean-latte.png|Looking for more than a traditional Latte? Try our Vanilla Bean Latte or any of our other flavours.
Frozen Lemondade|cold drinks|reg|2.65|cold-frozen-lemonade.png|Perfectly refreshing, this frozen drink blended with real lemon is sweetened and served icy cold.
